STG,STR,LPR
0.39,0.81,0.22
0.42,0.87,0.56
0.46,0.76,0.95
0.365,0.19,0.24
0.33,0.2,0.33
0.345,0.1,0.64
0.48,0.15,0.65
0.49,0.38,0.14
0.334,0.33,0.32
0.36,0.37,0.48
0.39,0.39,0.77
0.43,0.51,0.09
0.44,0.55,0.33
0.45,0.63,0.36
0.495,0.58,0.77
0.465,0.73,0.18
0.475,0.79,0.31
0.348,0.83,0.61
0.385,0.76,0.84
0.445,0.02,0.24
0.43,0.27,0.27
0.33,0.1,0.49
0.4,0.12,0.3
0.34,0.38,0.2
0.38,0.46,0.49
0.35,0.32,0.6
0.41,0.34,0.21
0.42,0.63,0.04
0.43,0.62,0.33
0.44,0.59,0.53
0.4,0.58,0.75
0.46,0.89,0.12
0.38,0.79,0.33
0.39,0.83,0.65
0.49,0.88,0.75
0.46,0.22,0.22
0.44,0.11,0.26
0.365,0.1,0.63
0.45,0.19,0.99
0.46,0.38,0.24
0.37,0.41,0.29
0.38,0.31,0.62
0.49,0.34,0.78
0.495,0.67,0.01
0.44,0.61,0.29
0.365,0.59,0.55
0.49,0.52,0.9
0.445,0.82,0.16
0.42,0.72,0.3
0.37,0.77,0.4
0.4,0.71,0.88
0.6,0.22,0.11
0.55,0.27,0.25
0.68,0.19,0.48
0.73,0.07,0.72
0.78,0.38,0.18
0.55,0.34,0.3
0.59,0.31,0.55
0.64,0.33,0.65
0.6,0.55,0.08
0.69,0.62,0.3
0.78,0.68,0.65
0.62,0.52,0.81
0.7,0.88,0.09
0.75,0.78,0.31
0.55,0.71,0.48
0.85,0.91,0.8
0.78,0.13,0.14
0.8,0.06,0.31
0.9,0.19,0.58
0.76,0.07,0.83
0.72,0.48,0.2
0.6,0.39,0.29
0.52,0.32,0.5
0.6,0.31,0.87
0.51,0.55,0.17
0.58,0.62,0.28
0.61,0.56,0.62
0.77,0.59,0.78
0.79,0.88,0.2
0.68,0.78,0.31
0.58,0.73,0.63
0.77,0.74,0.82
0.71,0.13,0.23
0.58,0.06,0.29
0.88,0.19,0.55
0.99,0.07,0.7
0.73,0.32,0.12
0.61,0.36,0.28
0.51,0.4,0.59
0.83,0.49,0.91
0.66,0.55,0.15
0.58,0.51,0.27
0.523,0.55,0.6
0.66,0.56,0.4
0.62,0.81,0.13
0.52,0.82,0.3
0.5,0.73,0.62
0.71,0.95,0.78
0.64,0.15,0.18
0.52,0.06,0.27
0.62,0.24,0.65
0.91,0.26,0.89
0.62,0.39,0.1
0.58,0.31,0.29
0.89,0.49,0.65
0.72,0.45,0.79
0.68,0.65,0.09
0.56,0.6,0.31
0.54,0.55,0.64
0.61,0.69,0.92
0.78,0.71,0.19
0.54,0.71,0.29
0.5,0.81,0.61
0.66,0.76,0.87
